std_sample_name	cellosaurus_id	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
Erythroid_0hr.GSE142004.Mus_Musculus.MboI.b1		GSE142004	Mus_Musculus	1	H3K27ac	MboI	Erythroid_0hr
Erythroid_0hr.GSE142004.Mus_Musculus.MboI.b2		GSE142004	Mus_Musculus	2	H3K27ac	MboI	Erythroid_0hr
Erythroid_0hr.GSE142004.Mus_Musculus.MboI.b1		GSE142004	Mus_Musculus	1	YY1	MboI	Erythroid_0hr
Erythroid_0hr.GSE142004.Mus_Musculus.MboI.b2		GSE142004	Mus_Musculus	2	YY1	MboI	Erythroid_0hr
Erythroid_1hr.GSE142004.Mus_Musculus.MboI.b1		GSE142004	Mus_Musculus	1	H3K27ac	MboI	Erythroid_1hr
Erythroid_1hr.GSE142004.Mus_Musculus.MboI.b2		GSE142004	Mus_Musculus	2	H3K27ac	MboI	Erythroid_1hr
Erythroid_1hr.GSE142004.Mus_Musculus.MboI.b1		GSE142004	Mus_Musculus	1	YY1	MboI	Erythroid_1hr
Erythroid_1hr.GSE142004.Mus_Musculus.MboI.b2		GSE142004	Mus_Musculus	2	YY1	MboI	Erythroid_1hr
ES.GSE113339.Mus_Musculus.MboI.b1	CVCL_C865	GSE113339	Mus_Musculus	1	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.MboI.b2	CVCL_C865	GSE113339	Mus_Musculus	2	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.MboI.b3	CVCL_C865	GSE113339	Mus_Musculus	3	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.MboI.b4	CVCL_C865	GSE113339	Mus_Musculus	4	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.MboI.b1	CVCL_C865	GSE113339	Mus_Musculus	1	H3K27ac	MboI	ES
ES.GSE113339.Mus_Musculus.MboI.b2	CVCL_C865	GSE113339	Mus_Musculus	2	H3K27ac	MboI	ES
ESC.GSE153884.Mus_Musculus.MboI.b1		GSE153884	Mus_Musculus	1	FGFR1	MboI	ESC
ESC.GSE153884.Mus_Musculus.MboI.b2		GSE153884	Mus_Musculus	2	FGFR1	MboI	ESC
ESC.GSE153884.Mus_Musculus.MboI.b1		GSE153884	Mus_Musculus	1	CTCF	MboI	ESC
ESC.GSE153884.Mus_Musculus.MboI.b2		GSE153884	Mus_Musculus	2	CTCF	MboI	ESC
F1_CD4_CD8.GSE141847.Mus_Musculus.MboI.b1		GSE141847	Mus_Musculus	1	SMC1A	MboI	F1_CD4_CD8
MEF.GSE113339.Mus_Musculus.MboI.b1		GSE113339	Mus_Musculus	1	H3K27ac	MboI	MEF
MEF.GSE113339.Mus_Musculus.MboI.b2		GSE113339	Mus_Musculus	2	H3K27ac	MboI	MEF
MEF_B6_0m.GSE193079.Mus_Musculus.MboI.b1		GSE193079	Mus_Musculus	1	H3K27ac	MboI	MEF_B6_0m
MEF_B6_0m.GSE193079.Mus_Musculus.MboI.b2		GSE193079	Mus_Musculus	2	H3K27ac	MboI	MEF_B6_0m
MEF_B6_0m.GSE193079.Mus_Musculus.MboI.b3		GSE193079	Mus_Musculus	3	H3K27ac	MboI	MEF_B6_0m
MEF_B6_90m.GSE193079.Mus_Musculus.MboI.b1		GSE193079	Mus_Musculus	1	H3K27ac	MboI	MEF_B6_90m
MEF_B6_90m.GSE193079.Mus_Musculus.MboI.b2		GSE193079	Mus_Musculus	2	H3K27ac	MboI	MEF_B6_90m
MEF_B6_90m.GSE193079.Mus_Musculus.MboI.b3		GSE193079	Mus_Musculus	3	H3K27ac	MboI	MEF_B6_90m
mES.GSE115524.Mus_Musculus.MboI.b1	CVCL_C865	GSE115524	Mus_Musculus	1	Oct4	MboI	mES
mES.GSE115524.Mus_Musculus.MboI.b2	CVCL_C865	GSE115524	Mus_Musculus	2	Oct4	MboI	mES
mES.GSE80820.Mus_Musculus.MboI.b1	CVCL_C865	GSE80820	Mus_Musculus	1	SMC1A	MboI	mES
mES.GSE80820.Mus_Musculus.MboI.b2	CVCL_C865	GSE80820	Mus_Musculus	2	SMC1A	MboI	mES
mES.GSE80820.Mus_Musculus.MboI.b1	CVCL_C865	GSE80820	Mus_Musculus	1	Oct4	MboI	mES
mES.GSE80820.Mus_Musculus.MboI.b2	CVCL_C865	GSE80820	Mus_Musculus	2	Oct4	MboI	mES
mES_100k.GSE101498.Mus_Musculus.MboI.b1	CVCL_C865	GSE101498	Mus_Musculus	1	H3K27ac	MboI	mES_100k
mES_100k.GSE101498.Mus_Musculus.MboI.b2	CVCL_C865	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_100k
mES_10m.GSE80820.Mus_Musculus.MboI.b1	CVCL_C865	GSE80820	Mus_Musculus	1	SMC1A	MboI	mES_10m
mES_1m.GSE80820.Mus_Musculus.MboI.b1	CVCL_C865	GSE80820	Mus_Musculus	1	SMC1A	MboI	mES_1m
mES_25m.GSE101498.Mus_Musculus.MboI.b1	CVCL_C865	GSE101498	Mus_Musculus	1	H3K27ac	MboI	mES_25m
mES_25m.GSE101498.Mus_Musculus.MboI.b2	CVCL_C865	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_25m
mES_500k.GSE101498.Mus_Musculus.MboI.b1	CVCL_C865	GSE101498	Mus_Musculus	1	H3K27ac	MboI	mES_500k
mES_500k.GSE101498.Mus_Musculus.MboI.b2	CVCL_C865	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_500k
mES_50k.GSE101498.Mus_Musculus.MboI.b1	CVCL_C865	GSE101498	Mus_Musculus	1	H3K27ac	MboI	mES_50k
mES_50k.GSE101498.Mus_Musculus.MboI.b2	CVCL_C865	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_50k
mES_5m.GSE80820.Mus_Musculus.MboI.b1	CVCL_C865	GSE80820	Mus_Musculus	1	SMC1A	MboI	mES_5m
mES_HC3C.GSE115524.Mus_Musculus.MboI.b1	CVCL_C865	GSE115524	Mus_Musculus	1	Oct4	MboI	mES_HC3C
mES_HC3C.GSE115524.Mus_Musculus.MboI.b2	CVCL_C865	GSE115524	Mus_Musculus	2	Oct4	MboI	mES_HC3C
mES_IAA_6h.GSE145793.Mus_Musculus.AluI.b1	CVCL_C865	GSE145793	Mus_Musculus	1	H3K27ac	AluI	mES_IAA_6h
mES_IAA_6h.GSE145793.Mus_Musculus.AluI.b2	CVCL_C865	GSE145793	Mus_Musculus	2	H3K27ac	AluI	mES_IAA_6h
mES_Untreated.GSE145793.Mus_Musculus.AluI.b1	CVCL_C865	GSE145793	Mus_Musculus	1	H3K27ac	AluI	mES_Untreated
mES_Untreated.GSE145793.Mus_Musculus.AluI.b2	CVCL_C865	GSE145793	Mus_Musculus	2	H3K27ac	AluI	mES_Untreated
mESC.GSE150906.Mus_Musculus.MboI.b1		GSE150906	Mus_Musculus	1	H3K27me3	MboI	mESC
mESC.GSE150906.Mus_Musculus.MboI.b1		GSE150906	Mus_Musculus	1	H3K27ac	MboI	mESC
mESC_Degraded.GSE99519.Mus_Musculus.MboI.b1	CVCL_C865	GSE99519	Mus_Musculus	1	H3K27ac	MboI	mESC_Degraded
