A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	A673_WT.GSE133227.Homo_Sapiens.H3K27ac
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac
CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1800-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b2	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b1	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac.b3	CD4_Naive_1814-RH-1.phs001703v3p1.Homo_Sapiens.H3K27ac
