ES.GSE113339.Mus_Musculus.KLF4.b1	ES.GSE113339.Mus_Musculus.KLF4.b3	ES.GSE113339.Mus_Musculus.KLF4
ES.GSE113339.Mus_Musculus.KLF4.b1	ES.GSE113339.Mus_Musculus.KLF4.b4	ES.GSE113339.Mus_Musculus.KLF4
ES.GSE113339.Mus_Musculus.KLF4.b2	ES.GSE113339.Mus_Musculus.KLF4.b3	ES.GSE113339.Mus_Musculus.KLF4
ES.GSE113339.Mus_Musculus.KLF4.b2	ES.GSE113339.Mus_Musculus.KLF4.b4	ES.GSE113339.Mus_Musculus.KLF4
ES.GSE113339.Mus_Musculus.KLF4.b3	ES.GSE113339.Mus_Musculus.KLF4.b4	ES.GSE113339.Mus_Musculus.KLF4
ESC.GSE153884.Mus_Musculus.CTCF.b1	ESC.GSE153884.Mus_Musculus.CTCF.b2	ESC.GSE153884.Mus_Musculus.CTCF
ESC.GSE153884.Mus_Musculus.FGFR1.b1	ESC.GSE153884.Mus_Musculus.FGFR1.b2	ESC.GSE153884.Mus_Musculus.FGFR1
EryD.GSE112717.Mus_Musculus.Gata1.b1	EryD.GSE112717.Mus_Musculus.Gata1.b2	EryD.GSE112717.Mus_Musculus.Gata1
EryP.GSE112717.Mus_Musculus.Gata1.b1	EryP.GSE112717.Mus_Musculus.Gata1.b2	EryP.GSE112717.Mus_Musculus.Gata1
Erythroid_0hr.GSE142004.Mus_Musculus.H3K27ac.b1	Erythroid_0hr.GSE142004.Mus_Musculus.H3K27ac.b2	Erythroid_0hr.GSE142004.Mus_Musculus.H3K27ac
Erythroid_0hr.GSE142004.Mus_Musculus.YY1.b1	Erythroid_0hr.GSE142004.Mus_Musculus.YY1.b2	Erythroid_0hr.GSE142004.Mus_Musculus.YY1
Erythroid_1hr.GSE142004.Mus_Musculus.H3K27ac.b1	Erythroid_1hr.GSE142004.Mus_Musculus.H3K27ac.b2	Erythroid_1hr.GSE142004.Mus_Musculus.H3K27ac
Erythroid_1hr.GSE142004.Mus_Musculus.YY1.b1	Erythroid_1hr.GSE142004.Mus_Musculus.YY1.b2	Erythroid_1hr.GSE142004.Mus_Musculus.YY1
MEF.GSE113339.Mus_Musculus.H3K27ac.b1	MEF.GSE113339.Mus_Musculus.H3K27ac.b2	MEF.GSE113339.Mus_Musculus.H3K27ac
MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b1	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b2	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac
MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b1	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac.b3	MEF_B6_0m.GSE193079.Mus_Musculus.H3K27ac
