A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.MboI.b2	CVCL_0080	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
Aortic-VIC.GSE154513.Homo_Sapiens.MboI.b1		GSE154513	Homo_Sapiens	1	H3K27ac	MboI	Aortic-VIC
AoSMC.GSE178598.Homo_Sapiens.MboI.b1		GSE178598	Homo_Sapiens	1	H3K27ac	MboI	AoSMC
ARK-1.GSE137936.Homo_Sapiens.DpnII.b1	CVCL_IV72	GSE137936	Homo_Sapiens	1	H3K27ac	DpnII	ARK-1
BC1.GSE136090.Homo_Sapiens.MboI.b1	CVCL_1079	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BC1
BC3.GSE136090.Homo_Sapiens.MboI.b1	CVCL_1080	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BC3
BCBL1.GSE136090.Homo_Sapiens.MboI.b1	CVCL_0165	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BCBL1
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.MboI.b1		GSE168881	Homo_Sapiens	1	H3K27ac	MboI	CAR-T-CD19-D10
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.MboI.b2		GSE168881	Homo_Sapiens	2	H3K27ac	MboI	CAR-T-CD19-D10
CAR-T-HA-D10.GSE168881.Homo_Sapiens.MboI.b1		GSE168881	Homo_Sapiens	1	H3K27ac	MboI	CAR-T-HA-D10
CAR-T-HA-D10.GSE168881.Homo_Sapiens.MboI.b2		GSE168881	Homo_Sapiens	2	H3K27ac	MboI	CAR-T-HA-D10
Caudate.GSE147672.Homo_Sapiens.MboI.b1		GSE147672	Homo_Sapiens	1	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.MboI.b2		GSE147672	Homo_Sapiens	2	H3K27ac	MboI	Caudate
cbCD34+-HSPC-SJALL068279-D1.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJALL068279-D1
cbCD34+-HSPC-SJAUL068292-D1.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJAUL068292-D1
cbCD34+-HSPC-SJMPAL011911-D1.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011911-D1
cbCD34+-HSPC-SJMPAL011914-D1.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011914-D1
cbCD34+-HSPC-SJTALL005006-D2.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJTALL005006-D2
CD34+-Cord-Blood.GSE165207.Homo_Sapiens.Arima.b1		GSE165207	Homo_Sapiens	1	H3K27ac	Arima	CD34+-Cord-Blood
