ARK-1.GSE137936.Homo_Sapiens.H3K27ac.b1	GSE137936	Homo_Sapiens	1	H3K27ac	DpnII	ARK-1
BC1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BC1
BC3.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BC3
BCBL1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	Homo_Sapiens	1	H3K27ac	MboI	BCBL1
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	GSE168881	Homo_Sapiens	1	H3K27ac	MboI	CAR-T-CD19-D10
CAR-T-CD19-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	GSE168881	Homo_Sapiens	2	H3K27ac	MboI	CAR-T-CD19-D10
CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b1	GSE168881	Homo_Sapiens	1	H3K27ac	MboI	CAR-T-HA-D10
CAR-T-HA-D10.GSE168881.Homo_Sapiens.H3K27ac.b2	GSE168881	Homo_Sapiens	2	H3K27ac	MboI	CAR-T-HA-D10
cbCD34+-HSPC-SJALL068279-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJALL068279-D1
cbCD34+-HSPC-SJAUL068292-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJAUL068292-D1
cbCD34+-HSPC-SJMPAL011911-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011911-D1
cbCD34+-HSPC-SJMPAL011914-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJMPAL011914-D1
cbCD34+-HSPC-SJTALL005006-D2.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	cbCD34+-HSPC-SJTALL005006-D2
CD34+-Cord-Blood.GSE165207.Homo_Sapiens.H3K27ac.b1	GSE165207	Homo_Sapiens	1	H3K27ac	Arima	CD34+-Cord-Blood
COLO320-DM.GSE159985.Homo_Sapiens.H3K27ac.b1	GSE159985	Homo_Sapiens	1	H3K27ac	MboI	COLO320-DM
CORL279.GSE151001.Homo_Sapiens.H3K27ac.b1	GSE151001	Homo_Sapiens	1	H3K27ac	MboI	CORL279
CORL88.GSE151001.Homo_Sapiens.H3K27ac.b1	GSE151001	Homo_Sapiens	1	H3K27ac	MboI	CORL88
