Erythroblast.GSE131054.Homo_Sapiens.H3K27ac.b1	101	101
GM12878.GSE101498.Homo_Sapiens.H3K27ac.b1	76	76
GM12878.GSE101498.Homo_Sapiens.H3K27ac.b2	76	76
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	76	76
GM12878.GSE115524.Homo_Sapiens.CTCF.b2	76	76
GM12878.GSE80820.Homo_Sapiens.SMC1A.b1	75	75
GM12878.GSE80820.Homo_Sapiens.SMC1A.b2	75	75
H1105.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H146.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H1694.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H1836.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H1876.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H2029.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H2066.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H2171.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H446.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H520.GSE166232.Homo_Sapiens.H3K27ac.b1	75	75
H524.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H69.GSE151001.Homo_Sapiens.H3K27ac.b1	75	75
H7-hESC-CM-WT.GSE111930.Homo_Sapiens.H3K27ac.b1	151	151
H9.GSE105028.Homo_Sapiens.Rad21.b1	50	50
H9.GSE105028.Homo_Sapiens.CTCF.b1	50	50
H9.GSE105028.Homo_Sapiens.OCT4.b1	50	50
H9.GSE105028.Homo_Sapiens.NANOG.b1	50	50
H9.GSE105028.Homo_Sapiens.KLF4.b1	50	50
H9.GSE105028.Homo_Sapiens.H3K4me1.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.Rad21.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.CTCF.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.OCT4.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.NANOG.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.KLF4.b1	50	50
H9-HS.GSE105028.Homo_Sapiens.H3K4me1.b1	50	50
H9-HS-KI.GSE105028.Homo_Sapiens.Rad21.b1	50	50
H9-siNIPBL-HS.GSE105028.Homo_Sapiens.CTCF.b1	50	50
H9-siNIPBL-HS.GSE105028.Homo_Sapiens.H3K4me1.b1	50	50
HaCaT_Stimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	101	101
HaCaT_Unstimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	101	101
HaCaT-Stimulated.GSE137906.Homo_Sapiens.H3K27ac.b1	101	101
HaCaT-Unstimulated.GSE137906.Homo_Sapiens.H3K27ac.b1	101	101
HAEC.GSE178598.Homo_Sapiens.H3K27ac.b1	76	76
HARA.GSE147854.Homo_Sapiens.H3K27ac.b1	75	75
HCASMC.GSE101498.Homo_Sapiens.H3K27ac.b1	75	75
HCC15.GSE166232.Homo_Sapiens.H3K27ac.b1	75	75
HCC1599-GSI.GSE116872.Homo_Sapiens.SMC1A.b1	38	38
HCC1599-WT.GSE116872.Homo_Sapiens.SMC1A.b1	38	38
HCT116.GSE173699.Homo_Sapiens.H3K27ac.b1	150	150
HCT116.GSE92881.Homo_Sapiens.SMC1.b1	100	100
HCT116.GSE136629.Homo_Sapiens.H3K27ac.b1	76	76
HCT116.GSE99519.Homo_Sapiens.YY1.b1	50	50
HCT116-AuxinNeg.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	101	101
HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	101	101
HEC-1-B-eRNA-LNA.GSE148958.Homo_Sapiens.V5.b1	36	36
HEC-1-B-SPT6_LNA.GSE148958.Homo_Sapiens.V5.b1	36	36
