Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441833	SRR11442522	Homo_Sapiens	2	3	H3K27ac	MboI	Middle-Frontal-Gyrus
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441833	SRR11442523	Homo_Sapiens	2	4	H3K27ac	MboI	Middle-Frontal-Gyrus
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442524	Homo_Sapiens	1	1	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442525	Homo_Sapiens	1	2	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442526	Homo_Sapiens	1	3	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442527	Homo_Sapiens	1	4	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442528	Homo_Sapiens	1	5	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442529	Homo_Sapiens	1	6	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442530	Homo_Sapiens	1	7	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b1	GSE147672	GSM4441834	SRR11442531	Homo_Sapiens	1	8	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442532	Homo_Sapiens	2	1	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442533	Homo_Sapiens	2	2	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442534	Homo_Sapiens	2	3	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442535	Homo_Sapiens	2	4	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442584	Homo_Sapiens	2	5	H3K27ac	MboI	Caudate
Caudate.GSE147672.Homo_Sapiens.H3K27ac.b2	GSE147672	GSM4441835	SRR11442585	Homo_Sapiens	2	6	H3K27ac	MboI	Caudate
