std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
293T.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664990	SRR8707613	Homo_Sapiens	1	1	YY1	HindIII	293T
293T.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664991	SRR8707614	Homo_Sapiens	1	2	YY1	HindIII	293T
293T.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664992	SRR8707615	Homo_Sapiens	1	3	YY1	HindIII	293T
293T.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664993	SRR8707616	Homo_Sapiens	1	4	YY1	HindIII	293T
293T-PDS.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664994	SRR8707617	Homo_Sapiens	1	1	YY1	HindIII	293T-PDS
293T-PDS.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664995	SRR8707618	Homo_Sapiens	1	2	YY1	HindIII	293T-PDS
293T-TMPYP4.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664996	SRR8707619	Homo_Sapiens	1	1	YY1	HindIII	293T-TMPYP4
293T-TMPYP4.GSE128106.Homo_Sapiens.YY1.b1	GSE128106	GSM3664997	SRR8707620	Homo_Sapiens	1	2	YY1	HindIII	293T-TMPYP4
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902791	SRR9590180	Homo_Sapiens	1	1	CTCF	MboI	A673_SA1m1
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902792	SRR9590181	Homo_Sapiens	2	1	CTCF	MboI	A673_SA1m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902793	SRR9590182	Homo_Sapiens	1	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902794	SRR9590183	Homo_Sapiens	2	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902795	SRR9590184	Homo_Sapiens	3	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	GSM3902796	SRR9590185	Homo_Sapiens	4	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	GSM3902797	SRR9590186	Homo_Sapiens	5	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902798	SRR9590187	Homo_Sapiens	1	1	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902799	SRR9590188	Homo_Sapiens	2	1	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902800	SRR9590189	Homo_Sapiens	3	1	H3K27ac	MboI	A673_SA2m1
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902801	SRR9590190	Homo_Sapiens	1	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902802	SRR9590191	Homo_Sapiens	2	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902803	SRR9590192	Homo_Sapiens	3	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902804	SRR9590193	Homo_Sapiens	1	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902805	SRR9590194	Homo_Sapiens	2	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902806	SRR9590195	Homo_Sapiens	3	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	GSM3902807	SRR9590196	Homo_Sapiens	4	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	GSE133227	GSM3902808	SRR9590197	Homo_Sapiens	5	1	H3K27ac	MboI	A673_SA2r
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902809	SRR9590198	Homo_Sapiens	1	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902810	SRR9590199	Homo_Sapiens	2	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902811	SRR9590200	Homo_Sapiens	3	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	GSM3902812	SRR9590201	Homo_Sapiens	4	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	GSM3902813	SRR9590202	Homo_Sapiens	5	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902814	SRR9590203	Homo_Sapiens	1	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902815	SRR9590204	Homo_Sapiens	2	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902816	SRR9590205	Homo_Sapiens	3	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	GSM3902817	SRR9590206	Homo_Sapiens	4	1	H3K27ac	MboI	A673_WT
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735769	SRR12492723	Homo_Sapiens	1	1	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735770	SRR12492724	Homo_Sapiens	1	2	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735771	SRR12492725	Homo_Sapiens	2	1	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735772	SRR12492726	Homo_Sapiens	1	3	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735773	SRR12492727	Homo_Sapiens	1	4	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735774	SRR12492728	Homo_Sapiens	2	2	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735775	SRR12492729	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735776	SRR12492730	Homo_Sapiens	1	2	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735777	SRR12492731	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735778	SRR12492732	Homo_Sapiens	1	3	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735779	SRR12492733	Homo_Sapiens	1	4	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735780	SRR12492734	Homo_Sapiens	2	2	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735781	SRR12492735	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735782	SRR12492720	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735783	SRR12492721	Homo_Sapiens	1	2	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735784	SRR12492722	Homo_Sapiens	2	2	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
Aortic-VIC.GSE154513.Homo_Sapiens.H3K27ac.b1	GSE154513	GSM4672364	SRR12231664	Homo_Sapiens	1	1	H3K27ac	MboI	Aortic-VIC
AoSMC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394200	SRR14872074	Homo_Sapiens	1	1	H3K27ac	MboI	AoSMC
AoSMC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394201	SRR14872075	Homo_Sapiens	1	2	H3K27ac	MboI	AoSMC
AoSMC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394202	SRR14872076	Homo_Sapiens	1	3	H3K27ac	MboI	AoSMC
ARK-1.GSE137936.Homo_Sapiens.H3K27ac.b1	GSE137936	GSM4094645	SRR10175016	Homo_Sapiens	1	1	H3K27ac	DpnII	ARK-1
BC1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040943	SRR10008151	Homo_Sapiens	1	1	H3K27ac	MboI	BC1
BC1.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040943	SRR10008152	Homo_Sapiens	1	2	H3K27ac	MboI	BC1
BC3.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040941	SRR10008147	Homo_Sapiens	1	1	H3K27ac	MboI	BC3
BC3.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040941	SRR10008148	Homo_Sapiens	1	2	H3K27ac	MboI	BC3
