std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
mESC_WT.GSE147919.Mus_Musculus.RYBP.b1	GSE147919	GSM4448888	SRR11465545	Mus_Musculus	1	1	RYBP	MboI	mESC_WT
mESC_WT.GSE147919.Mus_Musculus.RYBP.b1	GSE147919	GSM4448888	SRR11465544	Mus_Musculus	1	2	RYBP	MboI	mESC_WT
mESC_WT.GSE147919.Mus_Musculus.RYBP.b2	GSE147919	GSM4448889	SRR11465547	Mus_Musculus	2	1	RYBP	MboI	mESC_WT
mESC_WT.GSE147919.Mus_Musculus.RYBP.b2	GSE147919	GSM4448889	SRR11465546	Mus_Musculus	2	2	RYBP	MboI	mESC_WT
