std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902791	SRR9590180	Homo_Sapiens	1	1	CTCF	MboI	A673_SA1m1
A673_SA1m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902792	SRR9590181	Homo_Sapiens	2	1	CTCF	MboI	A673_SA1m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902793	SRR9590182	Homo_Sapiens	1	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902794	SRR9590183	Homo_Sapiens	2	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902795	SRR9590184	Homo_Sapiens	3	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	GSM3902796	SRR9590185	Homo_Sapiens	4	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	GSM3902797	SRR9590186	Homo_Sapiens	5	1	CTCF	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902798	SRR9590187	Homo_Sapiens	1	1	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902799	SRR9590188	Homo_Sapiens	2	1	H3K27ac	MboI	A673_SA2m1
A673_SA2m1.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902800	SRR9590189	Homo_Sapiens	3	1	H3K27ac	MboI	A673_SA2m1
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902801	SRR9590190	Homo_Sapiens	1	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902802	SRR9590191	Homo_Sapiens	2	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902803	SRR9590192	Homo_Sapiens	3	1	CTCF	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902804	SRR9590193	Homo_Sapiens	1	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902805	SRR9590194	Homo_Sapiens	2	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902806	SRR9590195	Homo_Sapiens	3	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	GSM3902807	SRR9590196	Homo_Sapiens	4	1	H3K27ac	MboI	A673_SA2r
A673_SA2r.GSE133227.Homo_Sapiens.H3K27ac.b5	GSE133227	GSM3902808	SRR9590197	Homo_Sapiens	5	1	H3K27ac	MboI	A673_SA2r
A673_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902809	SRR9590198	Homo_Sapiens	1	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902810	SRR9590199	Homo_Sapiens	2	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b3	GSE133227	GSM3902811	SRR9590200	Homo_Sapiens	3	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b4	GSE133227	GSM3902812	SRR9590201	Homo_Sapiens	4	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.CTCF.b5	GSE133227	GSM3902813	SRR9590202	Homo_Sapiens	5	1	CTCF	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902814	SRR9590203	Homo_Sapiens	1	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902815	SRR9590204	Homo_Sapiens	2	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b3	GSE133227	GSM3902816	SRR9590205	Homo_Sapiens	3	1	H3K27ac	MboI	A673_WT
A673_WT.GSE133227.Homo_Sapiens.H3K27ac.b4	GSE133227	GSM3902817	SRR9590206	Homo_Sapiens	4	1	H3K27ac	MboI	A673_WT
TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902823	SRR9590212	Homo_Sapiens	1	1	CTCF	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902824	SRR9590213	Homo_Sapiens	2	1	CTCF	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902825	SRR9590214	Homo_Sapiens	1	1	H3K27ac	MboI	TC71_SA2m2
TC71_SA2m2.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902826	SRR9590215	Homo_Sapiens	2	1	H3K27ac	MboI	TC71_SA2m2
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b1	GSE133227	GSM3902827	SRR9590216	Homo_Sapiens	1	1	CTCF	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.CTCF.b2	GSE133227	GSM3902828	SRR9590217	Homo_Sapiens	2	1	CTCF	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b1	GSE133227	GSM3902829	SRR9590218	Homo_Sapiens	1	1	H3K27ac	MboI	TC71_WT
TC71_WT.GSE133227.Homo_Sapiens.H3K27ac.b2	GSE133227	GSM3902830	SRR9590219	Homo_Sapiens	2	1	H3K27ac	MboI	TC71_WT
KYSE140.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066586	SRR13637938	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE140
KYSE140.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066587	SRR13637939	Homo_Sapiens	1	2	H3K27ac	MboI	KYSE140
KYSE70.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066588	SRR13637940	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE70
TT.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066589	SRR13637941	Homo_Sapiens	1	1	H3K27ac	MboI	TT
LK2.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066590	SRR13637942	Homo_Sapiens	1	1	H3K27ac	MboI	LK2
H520.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066591	SRR13637943	Homo_Sapiens	1	1	H3K27ac	MboI	H520
HCC15.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066592	SRR13637944	Homo_Sapiens	1	1	H3K27ac	MboI	HCC15
RERFLCAI.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066593	SRR13637945	Homo_Sapiens	1	1	H3K27ac	MboI	RERFLCAI
KYSE140_DMSO2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066594	SRR13637946	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE140_DMSO2hrs
KYSE140_DMSO2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066595	SRR13637947	Homo_Sapiens	1	2	H3K27ac	MboI	KYSE140_DMSO2hrs
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066596	SRR13637948	Homo_Sapiens	1	1	H3K27ac	MboI	KYSE140_ARV2hrs
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066597	SRR13637949	Homo_Sapiens	1	2	H3K27ac	MboI	KYSE140_ARV2hrs
SKMES1_sg_NC1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066598	SRR13637950	Homo_Sapiens	1	1	H3K27ac	MboI	SKMES1_sg_NC1
SKMES1_sg_NC1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066599	SRR13637951	Homo_Sapiens	1	2	H3K27ac	MboI	SKMES1_sg_NC1
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066600	SRR13637952	Homo_Sapiens	1	1	H3K27ac	MboI	SKMES1_sg_e1_1
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	GSM5066601	SRR13637953	Homo_Sapiens	1	2	H3K27ac	MboI	SKMES1_sg_e1_1
DEX.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	GSM3444788	SRR8103820	Homo_Sapiens	1	1	H3K27ac	NlaIII	DEX
DEX.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	GSM3444789	SRR8103821	Homo_Sapiens	2	1	H3K27ac	NlaIII	DEX
CTL.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	GSM3444790	SRR8103822	Homo_Sapiens	1	1	H3K27ac	NlaIII	CTL
CTL.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	GSM3444791	SRR8103823	Homo_Sapiens	2	1	H3K27ac	NlaIII	CTL
THP-1-Vector-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379684	SRR14804034	Homo_Sapiens	1	1	H3K4me3	Arima	THP-1-Vector-Batch1
THP-1-Vector-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379685	SRR14804035	Homo_Sapiens	1	2	H3K4me3	Arima	THP-1-Vector-Batch1
THP-1-WT-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379686	SRR14804036	Homo_Sapiens	1	1	H3K4me3	Arima	THP-1-WT-Batch1
THP-1-WT-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379687	SRR14804037	Homo_Sapiens	1	2	H3K4me3	Arima	THP-1-WT-Batch1
THP-1-del-cIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379688	SRR14804038	Homo_Sapiens	1	1	H3K4me3	Arima	THP-1-del-cIDR-Batch1
THP-1-del-cIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379689	SRR14804039	Homo_Sapiens	1	2	H3K4me3	Arima	THP-1-del-cIDR-Batch1
THP-1-del-eIFIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379690	SRR14804040	Homo_Sapiens	1	1	H3K4me3	Arima	THP-1-del-eIFIDR-Batch1
THP-1-del-eIFIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	GSM5379691	SRR14804041	Homo_Sapiens	1	2	H3K4me3	Arima	THP-1-del-eIFIDR-Batch1
