NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	SRR9109511_1.fastq.gz
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	SRR9109510_1.fastq.gz
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	SRR9109508_1.fastq.gz
NSD2-High-NTKO.GSE131651.Homo_Sapiens.CTCF.b2	SRR9109512_1.fastq.gz
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	SRR11442523_1.fastq.gz
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	SRR11442521_1.fastq.gz
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	SRR11442520_1.fastq.gz
Middle-Frontal-Gyrus.GSE147672.Homo_Sapiens.H3K27ac.b2	SRR11442522_1.fastq.gz
mOPC_IFN.GSE166177.Mus_Musculus.H3K27ac.b1	SRR13631522_1.fastq.gz
mOPC_Ctrl.GSE166177.Mus_Musculus.H3K27ac.b1	SRR13631521_1.fastq.gz
H2066.GSE151001.Homo_Sapiens.H3K27ac.b1	SRR11826690_1.fastq.gz
H520.GSE166232.Homo_Sapiens.H3K27ac.b1	SRR13637943_1.fastq.gz
Nalm6.GSE115492.Homo_Sapiens.H3K27ac.b1	SRR7278684_1.fastq.gz
cbCD34+-HSPC-SJMPAL011911-D1.GSE165207.Homo_Sapiens.H3K27ac.b1	SRR13492044_1.fastq.gz
A673_SA2m1.GSE133227.Homo_Sapiens.CTCF.b5	SRR9590186_1.fastq.gz
COLO320-DM.GSE159985.Homo_Sapiens.H3K27ac.b1	SRR12885711_1.fastq.gz
OPC.GSE157666.Mus_Musculus.H3K27ac.b3	SRR12610298_1.fastq.gz
mES_50k.GSE101498.Mus_Musculus.H3K27ac.b2	SRR5831488_1.fastq.gz
THP-1-del-eIFIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	SRR14804040_1.fastq.gz
THP-1-del-eIFIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	SRR14804041_1.fastq.gz
