std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
mES_25m.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705031	SRR5831479	Mus_Musculus	1	1	H3K27ac	MboI	mES_25m
mES_25m.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705032	SRR5831480	Mus_Musculus	1	2	H3K27ac	MboI	mES_25m
mES_25m.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705033	SRR5831481	Mus_Musculus	2	1	H3K27ac	MboI	mES_25m
mES_25m.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705034	SRR5831482	Mus_Musculus	2	2	H3K27ac	MboI	mES_25m
mES_500k.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705035	SRR5831483	Mus_Musculus	1	1	H3K27ac	MboI	mES_500k
mES_500k.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705036	SRR5831484	Mus_Musculus	2	1	H3K27ac	MboI	mES_500k
mES_100k.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705037	SRR5831485	Mus_Musculus	1	1	H3K27ac	MboI	mES_100k
mES_100k.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705038	SRR5831486	Mus_Musculus	2	1	H3K27ac	MboI	mES_100k
mES_50k.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	GSM2705039	SRR5831487	Mus_Musculus	1	1	H3K27ac	MboI	mES_50k
mES_50k.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	GSM2705040	SRR5831488	Mus_Musculus	2	1	H3K27ac	MboI	mES_50k
Villus.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476739	SRR11548368	Mus_Musculus	1	1	H3K4me3	MboI	Villus
Villus.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476740	SRR11548369	Mus_Musculus	1	2	H3K4me3	MboI	Villus
Crypt.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476741	SRR11548370	Mus_Musculus	1	1	H3K4me3	MboI	Crypt
Crypt.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476742	SRR11548371	Mus_Musculus	1	2	H3K4me3	MboI	Crypt
Villus_Hnf4DKO.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476743	SRR11548372	Mus_Musculus	1	1	H3K4me3	MboI	Villus_Hnf4DKO
Villus_Hnf4DKO.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476744	SRR11548373	Mus_Musculus	1	2	H3K4me3	MboI	Villus_Hnf4DKO
Crypt_Hnf4DKO.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476745	SRR11548374	Mus_Musculus	1	1	H3K4me3	MboI	Crypt_Hnf4DKO
Crypt_Hnf4DKO.GSE148691.Mus_Musculus.H3K4me3.b1	GSE148691	GSM4476746	SRR11548375	Mus_Musculus	1	2	H3K4me3	MboI	Crypt_Hnf4DKO
MLL_AF9.GSE110898.Mus_Musculus.H3K27ac.b1	GSE110898	GSM3018483	SRR6756804	Mus_Musculus	1	1	H3K27ac	MboI	MLL_AF9
MLL_AF9_LSD1i.GSE110898.Mus_Musculus.H3K27ac.b1	GSE110898	GSM3018484	SRR6756805	Mus_Musculus	1	1	H3K27ac	MboI	MLL_AF9_LSD1i
Treg_WT.GSE112176.Mus_Musculus.H3K27ac.b1	GSE112176	GSM3059349	SRR6876290	Mus_Musculus	1	1	H3K27ac	MboI	Treg_WT
Treg_WT.GSE112176.Mus_Musculus.H3K27ac.b2	GSE112176	GSM3059350	SRR6876291	Mus_Musculus	2	1	H3K27ac	MboI	Treg_WT
Treg_MT.GSE112176.Mus_Musculus.H3K27ac.b1	GSE112176	GSM3059351	SRR6876292	Mus_Musculus	1	1	H3K27ac	MboI	Treg_MT
Treg_MT.GSE112176.Mus_Musculus.H3K27ac.b2	GSE112176	GSM3059352	SRR6876293	Mus_Musculus	2	1	H3K27ac	MboI	Treg_MT
EryP.GSE112717.Mus_Musculus.Gata1.b1	GSE112717	GSM3903795	SRR9592213	Mus_Musculus	1	1	Gata1	MboI	EryP
EryP.GSE112717.Mus_Musculus.Gata1.b2	GSE112717	GSM3903796	SRR9592214	Mus_Musculus	2	1	Gata1	MboI	EryP
EryD.GSE112717.Mus_Musculus.Gata1.b1	GSE112717	GSM3903797	SRR9592215	Mus_Musculus	1	1	Gata1	MboI	EryD
EryD.GSE112717.Mus_Musculus.Gata1.b2	GSE112717	GSM3903798	SRR9592216	Mus_Musculus	2	1	Gata1	MboI	EryD
ES.GSE113339.Mus_Musculus.KLF4.b1	GSE113339	GSM3103910	SRR7030443	Mus_Musculus	1	1	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b1	GSE113339	GSM3103910	SRR7030444	Mus_Musculus	1	2	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b2	GSE113339	GSM3103911	SRR7030445	Mus_Musculus	2	1	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b2	GSE113339	GSM3103911	SRR7030446	Mus_Musculus	2	2	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b3	GSE113339	GSM3103912	SRR7030447	Mus_Musculus	3	1	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b3	GSE113339	GSM3103912	SRR7030448	Mus_Musculus	3	2	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b4	GSE113339	GSM3103913	SRR7030449	Mus_Musculus	4	1	KLF4	MboI	ES
ES.GSE113339.Mus_Musculus.KLF4.b4	GSE113339	GSM3103913	SRR7030450	Mus_Musculus	4	2	KLF4	MboI	ES
D3.GSE113339.Mus_Musculus.KLF4.b1	GSE113339	GSM3103914	SRR7030451	Mus_Musculus	1	1	KLF4	MboI	D3
D3.GSE113339.Mus_Musculus.KLF4.b2	GSE113339	GSM3103915	SRR7030452	Mus_Musculus	2	1	KLF4	MboI	D3
D3.GSE113339.Mus_Musculus.KLF4.b3	GSE113339	GSM3103916	SRR7030453	Mus_Musculus	3	1	KLF4	MboI	D3
D6.GSE113339.Mus_Musculus.KLF4.b1	GSE113339	GSM3103917	SRR7030454	Mus_Musculus	1	1	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b1	GSE113339	GSM3103917	SRR7030455	Mus_Musculus	1	2	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b2	GSE113339	GSM3103918	SRR7030456	Mus_Musculus	2	1	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b2	GSE113339	GSM3103918	SRR7030457	Mus_Musculus	2	2	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b3	GSE113339	GSM3103919	SRR7030458	Mus_Musculus	3	1	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b3	GSE113339	GSM3103919	SRR7030459	Mus_Musculus	3	2	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b4	GSE113339	GSM3103920	SRR7030460	Mus_Musculus	4	1	KLF4	MboI	D6
D6.GSE113339.Mus_Musculus.KLF4.b4	GSE113339	GSM3103920	SRR7030461	Mus_Musculus	4	2	KLF4	MboI	D6
ES.GSE113339.Mus_Musculus.H3K27ac.b1	GSE113339	GSM3103921	SRR7030462	Mus_Musculus	1	1	H3K27ac	MboI	ES
ES.GSE113339.Mus_Musculus.H3K27ac.b1	GSE113339	GSM3103921	SRR7030463	Mus_Musculus	1	2	H3K27ac	MboI	ES
ES.GSE113339.Mus_Musculus.H3K27ac.b2	GSE113339	GSM3103922	SRR7030464	Mus_Musculus	2	1	H3K27ac	MboI	ES
ES.GSE113339.Mus_Musculus.H3K27ac.b2	GSE113339	GSM3103922	SRR7030465	Mus_Musculus	2	2	H3K27ac	MboI	ES
MEF.GSE113339.Mus_Musculus.H3K27ac.b1	GSE113339	GSM3103923	SRR7030467	Mus_Musculus	1	1	H3K27ac	MboI	MEF
