std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
HAEC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394203	SRR14872077	Homo_Sapiens	1	1	H3K27ac	MboI	HAEC
HAEC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394204	SRR14872078	Homo_Sapiens	1	2	H3K27ac	MboI	HAEC
HAEC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	GSM5394205	SRR14872079	Homo_Sapiens	1	3	H3K27ac	MboI	HAEC
HaCaT_Stimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568374	SRR11849616	Homo_Sapiens	1	1	H3K27ac	MboI	HaCaT_Stimulated
HaCaT_Stimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568374	SRR11849617	Homo_Sapiens	1	2	H3K27ac	MboI	HaCaT_Stimulated
HaCaT_Unstimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568375	SRR11849618	Homo_Sapiens	1	1	H3K27ac	MboI	HaCaT_Unstimulated
HaCaT_Unstimulated.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568375	SRR11849619	Homo_Sapiens	1	2	H3K27ac	MboI	HaCaT_Unstimulated
MyLa.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568376	SRR11849620	Homo_Sapiens	1	1	H3K27ac	MboI	MyLa
MyLa.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568376	SRR11849621	Homo_Sapiens	1	2	H3K27ac	MboI	MyLa
MyLa.GSE151193.Homo_Sapiens.H3K27ac.b1	GSE151193	GSM4568376	SRR11849622	Homo_Sapiens	1	3	H3K27ac	MboI	MyLa
HARA.GSE147854.Homo_Sapiens.H3K27ac.b1	GSE147854	GSM4447215	SRR11459775	Homo_Sapiens	1	1	H3K27ac	MboI	HARA
HT55.GSE147854.Homo_Sapiens.H3K27ac.b1	GSE147854	GSM4447216	SRR11459776	Homo_Sapiens	1	1	H3K27ac	MboI	HT55
HCT116.GSE173699.Homo_Sapiens.H3K27ac.b1	GSE173699	GSM5277132	SRR14335549	Homo_Sapiens	1	1	H3K27ac	MboI	HCT116
HCT116.GSE173699.Homo_Sapiens.H3K27ac.b1	GSE173699	GSM5277133	SRR14335548	Homo_Sapiens	1	2	H3K27ac	MboI	HCT116
HK2.GSE147646.Homo_Sapiens.H3K27ac.b1	GSE147646	GSM4437223	SRR11434878	Homo_Sapiens	1	1	H3K27ac	MboI	HK2
HK2.GSE147646.Homo_Sapiens.H3K27ac.b1	GSE147646	GSM4437224	SRR11434879	Homo_Sapiens	1	2	H3K27ac	MboI	HK2
BC3.GSE136090.Homo_Sapiens.H3K27ac.b1	GSE136090	GSM4040941	SRR10008147	Homo_Sapiens	1	1	H3K27ac	MboI	BC3
