std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
A673-siCT-Dh1-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735769	SRR12492723	Homo_Sapiens	1	1	CTCF	MboI	A673-siCT-Dh1-72h-D347
A673-siCT-Dh1-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735770	SRR12492724	Homo_Sapiens	1	2	CTCF	MboI	A673-siCT-Dh1-72h-D347
A673-siCT-Dh1-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735771	SRR12492725	Homo_Sapiens	2	1	CTCF	MboI	A673-siCT-Dh1-72h-D347
A673-siCT-Dh1-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735772	SRR12492726	Homo_Sapiens	1	1	CTCF	MboI	A673-siCT-Dh1-72h-D362
A673-siCT-Dh1-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735773	SRR12492727	Homo_Sapiens	1	2	CTCF	MboI	A673-siCT-Dh1-72h-D362
A673-siCT-Dh1-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735774	SRR12492728	Homo_Sapiens	2	1	CTCF	MboI	A673-siCT-Dh1-72h-D362
A673-siSA2-Dh6-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735775	SRR12492729	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347
A673-siSA2-Dh6-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735776	SRR12492730	Homo_Sapiens	1	2	CTCF	MboI	A673-siSA2-Dh6-72h-D347
A673-siSA2-Dh6-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735777	SRR12492731	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347
A673-siSA2-Dh6-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735778	SRR12492732	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh6-72h-D362
A673-siSA2-Dh6-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735779	SRR12492733	Homo_Sapiens	1	2	CTCF	MboI	A673-siSA2-Dh6-72h-D362
A673-siSA2-Dh6-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735780	SRR12492734	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh6-72h-D362
A673-siSA2-Dh8-72h-D347.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735781	SRR12492735	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347
A673-siSA2-Dh8-72h-D347.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735782	SRR12492720	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347
A673-siSA2-Dh8-72h-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	GSM4735783	SRR12492721	Homo_Sapiens	1	1	CTCF	MboI	A673-siSA2-Dh8-72h-D362
A673-siSA2-Dh8-72h-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	GSM4735784	SRR12492722	Homo_Sapiens	2	1	CTCF	MboI	A673-siSA2-Dh8-72h-D362
