std_sample_name	gse_id	gsm_id	srr_id	organism	bio_rep	tech_rep	antibody_target	restriction_enzyme	sample_name
HAVIC.GSE154512.Homo_Sapiens.H3K27ac.b1	GSE154512	GSM4672364	SRR12231664	Homo_Sapiens	1	1	H3K27ac	MboI	HAVIC
HCT116-AuxinNeg.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420289	SRR15050696	Homo_Sapiens	1	1	RNA-Pol-II	DpnII	HCT116-AuxinNeg
HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420290	SRR15050697	Homo_Sapiens	1	1	RNA-Pol-II	DpnII	HCT116-AuxinPos
HCT116-AuxinPos.GSE179544.Homo_Sapiens.RNA-Pol-II.b1	GSE179544	GSM5420292	SRR15050699	Homo_Sapiens	1	2	RNA-Pol-II	DpnII	HCT116-AuxinPos
IMR90-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2695301	SRR5808478	Homo_Sapiens	1	1	CTCF	HindIII	IMR90-Proliferating
IMR90-Senescent.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2695302	SRR5808479	Homo_Sapiens	1	1	CTCF	HindIII	IMR90-Senescent
HUVEC-Proliferating.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2936365	SRR6496514	Homo_Sapiens	1	1	CTCF	HindIII	HUVEC-Proliferating
HUVEC-Senescent.GSE100856.Homo_Sapiens.CTCF.b1	GSE100856	GSM2936366	SRR6496515	Homo_Sapiens	1	1	CTCF	HindIII	HUVEC-Senescent
Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	GSM2974085	SRR6657726	Homo_Sapiens	1	1	CTCF	MboI	Hela-S3-Control
Hela-S3-Control.GSE108869.Homo_Sapiens.CTCF.b2	GSE108869	GSM2974086	SRR6657727	Homo_Sapiens	2	1	CTCF	MboI	Hela-S3-Control
