mES_500k_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_500k_cells	1
mES_500k_cells.GSE101498.Mus_Musculus.H3K27ac.b1	GSE101498	Mus_Musculus	1	H3K27ac	MboI	mES_500k_cells	1
mES_25m_cells.GSE101498.Mus_Musculus.H3K27ac.b2	GSE101498	Mus_Musculus	2	H3K27ac	MboI	mES_25m_cells	0
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	Homo_Sapiens	2	H3K27ac	MboI	Naive_Tcells	1
Naive_Tcells.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	Homo_Sapiens	3	H3K27ac	MboI	Naive_Tcells	0
AoSMC.GSE178598.Homo_Sapiens.H3K27ac.b1	GSE178598	Homo_Sapiens	1	H3K27ac	MboI	AoSMC	1
HCASMC.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	Homo_Sapiens	1	H3K27ac	MboI	HCASMC	1
Naive_Tcells.GSE101498.Homo_Sapiens.CTCF.b2	GSE101498	Homo_Sapiens	2	CTCF	MboI	Naive_Tcells	1
Naive_Tcells.GSE101498.Homo_Sapiens.CTCF.b1	GSE101498	Homo_Sapiens	1	CTCF	MboI	Naive_Tcells	1
Treg.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	Homo_Sapiens	3	H3K27ac	MboI	Treg	1
Treg.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	Homo_Sapiens	2	H3K27ac	MboI	Treg	1
Treg.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	Homo_Sapiens	1	H3K27ac	MboI	Treg	1
Th17.GSE101498.Homo_Sapiens.H3K27ac.b3	GSE101498	Homo_Sapiens	3	H3K27ac	MboI	Th17	1
Th17.GSE101498.Homo_Sapiens.H3K27ac.b2	GSE101498	Homo_Sapiens	2	H3K27ac	MboI	Th17	1
Th17.GSE101498.Homo_Sapiens.H3K27ac.b1	GSE101498	Homo_Sapiens	1	H3K27ac	MboI	Th17	1
lgs301283.GSE116193.Homo_Sapiens.CTCF.b1	GSE116193	Homo_Sapiens	1	CTCF	MboI	lgs301283	1
