std_sample_name	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
KYSE140_ARV2hrs.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	KYSE140_ARV2hrs
SKMES1_sg_NC1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	SKMES1_sg_NC1
SKMES1_sg_e1_1.GSE166232.Homo_Sapiens.H3K27ac.b1	GSE166232	Homo_Sapiens	1	H3K27ac	MboI	SKMES1_sg_e1_1
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b1	GSE108869	Homo_Sapiens	1	CTCF	MboI	Hela-S3-OE
Hela-S3-OE.GSE108869.Homo_Sapiens.CTCF.b2	GSE108869	Homo_Sapiens	2	CTCF	MboI	Hela-S3-OE
GM12878.GSE115524.Homo_Sapiens.CTCF.b1	GSE115524	Homo_Sapiens	1	CTCF	MboI	GM12878
GM12878.GSE115524.Homo_Sapiens.CTCF.b2	GSE115524	Homo_Sapiens	2	CTCF	MboI	GM12878
DEX.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	Homo_Sapiens	1	H3K27ac	NlaIII	DEX
DEX.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	Homo_Sapiens	2	H3K27ac	NlaIII	DEX
CTL.GSE117888.Homo_Sapiens.H3K27ac.b1	GSE117888	Homo_Sapiens	1	H3K27ac	NlaIII	CTL
CTL.GSE117888.Homo_Sapiens.H3K27ac.b2	GSE117888	Homo_Sapiens	2	H3K27ac	NlaIII	CTL
HEC-1-B-WT.GSE148958.Homo_Sapiens.V5.b1	GSE148958	Homo_Sapiens	1	V5	MboI	HEC-1-B-WT
THP-1-Vector-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	Homo_Sapiens	1	H3K4me3	Arima	THP-1-Vector-Batch1
THP-1-WT-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	Homo_Sapiens	1	H3K4me3	Arima	THP-1-WT-Batch1
THP-1-del-cIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	Homo_Sapiens	1	H3K4me3	Arima	THP-1-del-cIDR-Batch1
THP-1-del-eIFIDR-Batch1.GSE149420.Homo_Sapiens.H3K4me3.b1	GSE149420	Homo_Sapiens	1	H3K4me3	Arima	THP-1-del-eIFIDR-Batch1
THP-1-Vector-Batch2.GSE149420.Homo_Sapiens.H3K4me3.b2	GSE149420	Homo_Sapiens	2	H3K4me3	Arima	THP-1-Vector-Batch2
THP-1-WT-Batch2.GSE149420.Homo_Sapiens.H3K4me3.b2	GSE149420	Homo_Sapiens	2	H3K4me3	Arima	THP-1-WT-Batch2
THP-1-del-cIDR-Batch2.GSE149420.Homo_Sapiens.H3K4me3.b2	GSE149420	Homo_Sapiens	2	H3K4me3	Arima	THP-1-del-cIDR-Batch2
THP-1-del-eIFIDR-Batch2.GSE149420.Homo_Sapiens.H3K4me3.b2	GSE149420	Homo_Sapiens	2	H3K4me3	Arima	THP-1-del-eIFIDR-Batch2
THP-1-del-TRP-Batch2.GSE149420.Homo_Sapiens.H3K4me3.b2	GSE149420	Homo_Sapiens	2	H3K4me3	Arima	THP-1-del-TRP-Batch2
THP-1-Vector.GSE149420.Homo_Sapiens.H3K27ac.b1	GSE149420	Homo_Sapiens	1	H3K27ac	Arima	THP-1-Vector
THP-1-WT.GSE149420.Homo_Sapiens.H3K27ac.b1	GSE149420	Homo_Sapiens	1	H3K27ac	Arima	THP-1-WT
THP-1-del-cIDR.GSE149420.Homo_Sapiens.H3K27ac.b1	GSE149420	Homo_Sapiens	1	H3K27ac	Arima	THP-1-del-cIDR
THP-1-eIFIDR.GSE149420.Homo_Sapiens.H3K27ac.b1	GSE149420	Homo_Sapiens	1	H3K27ac	Arima	THP-1-eIFIDR
THP-1-del-TRP.GSE149420.Homo_Sapiens.H3K27ac.b1	GSE149420	Homo_Sapiens	1	H3K27ac	Arima	THP-1-del-TRP
PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b1	GSE152900	Homo_Sapiens	1	H3K27ac	MboI	PAEC-siRNA-Ctrl
PAEC-siRNA-Ctrl.GSE152900.Homo_Sapiens.H3K27ac.b2	GSE152900	Homo_Sapiens	2	H3K27ac	MboI	PAEC-siRNA-Ctrl
PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b1	GSE152900	Homo_Sapiens	1	H3K27ac	MboI	PAEC-siRNA-KLF2-4
PAEC-siRNA-KLF2-4.GSE152900.Homo_Sapiens.H3K27ac.b2	GSE152900	Homo_Sapiens	2	H3K27ac	MboI	PAEC-siRNA-KLF2-4
KYSE180.GSE155184.Homo_Sapiens.H3K27ac.b1	GSE155184	Homo_Sapiens	1	H3K27ac	MboI, DpnII, HinfI	KYSE180
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siCT-Dh1-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siCT-Dh1-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh6-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b2	GSE156650	Homo_Sapiens	2	CTCF	MboI	A673-siSA2-Dh6-72h-D347-D362
A673-siSA2-Dh8-72h-D347-D362.GSE156650.Homo_Sapiens.CTCF.b1	GSE156650	Homo_Sapiens	1	CTCF	MboI	A673-siSA2-Dh8-72h-D347-D362
